文档ID,簇编号,原文片段（分词行）
249,5,娱乐 贫民 富翁 全身 主演 印度 裙子 卖得 奥斯卡 大赢家 贫民窟 百万富翁 简称 贫民 富翁 登录 影院 票房 富翁 魅力 了解 贫民 富翁 全国 票房 ...
250,4,游戏 神兆 OL 新区 冲级 爆爆 春风 战鼓 起点 征程 拉开序幕 无谓 力士 锐利 猎人 飘渺 道士 潇洒 侠客 冷静 盗贼 霸道 拳师 神秘 术士 名利 ...
251,5,娱乐 波兰 斯基 要求 撤销 诱奸 纪录片 披露 新华社 美国 洛杉矶 备受 关注 著名 导演 罗曼 波兰 斯基 申请 撤销 诱奸 少女 一案 举行 听证会 焦...
252,3,体育 子弹 传奇 纪录 罗斯 改写 一项 北京 华盛顿邮报 罗斯 当选 MVP 公牛 控卫 取代 子弹 更名 奇才 传球 球星 名人堂 成员 昂赛 NBA 历史...
253,4,游戏 手机 网游 上古 II 封测 独家 爆料 君王 美峰 数码 力作 上古 II 是否 封测 谣传 明察 加加 暗访 准确 独家 第一手 资料 负责 态度 大...
254,4,游戏 三国 印魂 地图 任务 隆重 开启 一年 看看 时刻 三国 印魂 带给 一种 惊喜 长安 开放 踏上 财富 长安 历史 古城 玩家 敞开 封沉 大门 长安...
255,5,娱乐 美国 男子 小丑 蝙蝠侠 海报 被捕 附图 娱乐 蝙蝠侠 骑士 美国 公映 连破 多项 票房 纪录 无数 影迷 一名 狂热 影迷 电影 小丑 模样 影院 ...
256,2,体育 湖人 指挥官 禅师 痛骂 进球 没辙 北京 湖人 丧失 优势 客场 不敌 小牛 季后赛 第二轮 落后 创造 奇迹 卫冕 继续 加索尔 加索尔 系列赛 第二...
257,4,游戏 ol 新增 极品 宝石 普通 素材 合成 极品 宝石 ol 上线 极品 合成 宝石 极品 宝石 变成 玩家 搜集 道具 碎片 源质 少量 金钱 有机 会合...
258,4,游戏 传闻 封神 ol 资料片 上线 猛犸 运营 工作人员 介绍 热门 网络游戏 封神 ol 动作 预计 月份 推出 一部 资料片 封神 决战 玩家 体验 系统...
259,3,体育 热火 vs V 前瞻 绿军 生存 华丽 一场 决出 名额 比赛 北京 打响 热火 系列赛 热火 取得 领先 手握 赛点 热火 组对 华丽 对决 看来 接近...
260,5,娱乐 朱莉 新片 通缉令 上映 本报讯 杨林 院线 获悉 安吉丽娜 朱莉 詹姆斯 麦卡沃 主演 通缉令 Wanted 确定 上映 俄罗斯 导演 贝克曼 贝托夫 ...
261,1,财经 基金 适当 投资 创业板 证券时报 程俊琳 余子君 本报讯 创业板 发行 上市 管理 暂行办法 推出 资本 市场 犹如 受访 基金 经理 推出 创业板 不...
262,1,财经 广发基金 朱平 新能源 板块 孕育 黑马 温床 李娜 发自 上海 股指 多次 冲击 高点 未果 市场 分歧 几千 资金 在手 基金 上演 普通 投资者 十...
263,1,财经 私募 看好 新能源 重组 题材 公募 偏爱 中盘股 实习 顾鑫 谢闻 公募 私募 基金 经理 举行 展恒 私募 高峰论坛 发言 流动性 推动 市场 振荡 ...
264,4,游戏 九州 online 古墓 寻宝 传说 神秘 森林 留下 皇陵 古墓 遗址 充满 神秘 色彩 很多 勇士 踏上 征途 寻找 传说 宝藏 路途 充满 荆棘 坎...
265,3,体育 禅师 出场 增加 赢球 无妨 北京 带伤 出战 洛杉矶 湖人队 面临 一场 晋级 主帅 杰克逊 增加 出场 加索尔 愿用 伤病 发挥 借口 带伤 出战 第...
266,5,娱乐 孙艺珍 新片 携手 高修 翻拍 日本 小说 娱乐 韩国 女演员 孙艺珍 携手 出演 新片 孙艺珍 影片 妻子 结婚 青龙 电影 影后 退役 出演 新片 孙...
267,3,体育 杜兰特 奇兵 盖帽 雷霆 掘金 晋级 第二轮 北京 雷霆 主场 完成 逆转 险胜 掘金 淘汰 对手 晋级 半决赛 等待 马刺 胜者 掘金 得分 上双 阿隆...
268,3,体育 场场 双遇 皇帝 脖子 汉字 左手 NBA 季后赛 东区 半决赛 第四 波士顿 主场 不敌 热火 上以 落后 退路 替补 控卫 德隆 韦斯特 上场 篮板 ...
269,1,财经 中邮 基金 中国联通 基金 多数 逃跑 月份 十多家 券商 发布 中国联通 研究 报告 保持 推荐 国信 长江 中信 安信 建议 买入 理财 周报 王小静...
270,4,游戏 结盟 易宝 支付 成都 哆可 游戏 开测 两年 筹备 成都 哆可 游戏 自主 手机游戏 奇缘 耗资 千万 代理 上古 PC 网游 online 封测 哆可...
271,4,游戏 帝国 OL 创新 体验 帝国 OL 资料片 神兵 传奇 震撼 上线 职业 武器 带来 惊喜 功能 新界面 带来 体验 庆祝 资料片 上线 官方 极品 装备...
272,4,游戏 首款 iPad 平台 网游 口袋 传说 公布 SpaceTime Studios 推出 iPad iPhone iPod 平台 角色扮演 网络游戏 口袋 ...
273,0,科技 mm 镜头 佳能 D 套机 外观 佳能 EOS D 佳能 EOS D 机身 铝镁合金 外壳 材质 质感 十分 强烈 D 145.5 107.8 73.5 ...
274,1,财经 私募 黑马 反弹 八成 个股 股价 大盘 涨幅 超过 大盘 上升 动能 A股 牛市 论调 北京 上海 报告会 上如 春雷 般炸响 普通 投资者 再生 困惑...
275,3,体育 直击 皇帝 失误 葬送 热火 真理 绝杀 比赛 北京 主场 TD 花园 迎来 热火 第四场 carry...
276,3,体育 专家 湖人 最烂 合同 停摆 保留 核心 阵容 北京 洛杉矶 湖人队 结束 无法 预测 阵容 ESPN 球队 休战 分析 湖人队 控卫 革新 遭遇 停摆 ...
277,2,体育 加索尔 防守 命中率 北京 湖人 场面 小牛 比赛 把握住 机会 输掉 比赛 落后 翻盘 横扫 历史 一支 球队 落后 实现 翻盘 ESPN 湖人 球员 ...
278,0,科技 专业级 单反相机 尼康 D3000 头套 机售 作者 张跃 尼康 D3000 用户 设计 单反相机 沿用 D60 DX 画幅 像素 级别 CCD 尼康 E...
279,0,科技 有效 像素 尼康 D90 售价 数码相机 DX 格式 CMOS 感光 元件 有效 像素 最大 拍摄 分辨率 图片 D90 一块 3.0 英寸 像素 LCD...
280,1,财经 得意 末路穷途 市场 环境 供给 压力 债券市场 带来 负面影响 丁学梅 北京 银河证券 数据 显示 股票 基金 平均 净值 增长率 25.88 债券 型...
281,3,体育 蜂王 续约 定局 经理 北京 美联社 有权 跳出 合同 投奔 球队 外界 讨论 落户 新东家 黄蜂队 坚信 能够 蜂王 达成 续约 条件 等到 资格 黄蜂...
282,5,娱乐 电影 深湖 巨兽 有奖 征文活动 华夏 电影 发行 公司 发行 电影 深湖 巨兽 内地 上映 华夏 联合 推出 深湖 巨兽 现金 大奖 征文活动 征文 内...
283,4,游戏 online 情侣 甜蜜 双倍 一天 情人节 女孩 期盼 人生旅途 相识 火花 起点 手握着 感情 烟火 一路 风景 渲染 点缀 小花 意外 美丽 希望 ...
284,5,娱乐 走出 离婚 阴影 打造 时尚 福尔摩斯 早报 程晓筠 编译 核心 提示 英国 先锋 导演 萨莉 波特 聚焦 时尚 世界 新片 裘德 华丽 图景 愤怒 枪口...
285,4,游戏 ol 刑天舞 发奖 名单 ol 开启 华东区 第十九 新服 刑天舞 十九个 服务器 见证 辉煌 人气 结缘 五湖四海 玩家 共享 激情 好玩 游戏 金白银...
286,0,科技 光学 变焦镜头 索尼 G3 机身 设计 简洁 92.1 有效 像素 3.5 Xtra Fine 触摸式 液晶屏 DSC G3 具备 双重 防抖 人脸 检测...
287,4,游戏 乐园 春耕 行动 春耕 乐园 真情 打造 春耕 活动 上线 亲临 农场 体验 一份 耕耘 一份 收获 农忙 乐趣 耕耘 收获 奖品 惊喜 多多 超值 电子...
288,4,游戏 文明 公会 功能 启动 揭秘 公会 建立 公会 领地 仓库 会员 影响 领地 仓库 公会 资源 会员 公会 强大 做出 贡献 刺激 公会 无视 PK 恩仇...
289,1,财经 首单 QDII 专户 合同 落户 交银 施罗德 周宏自 专户 QDII 业务 开闸 首单 QDII 专户 合同 归属 焦点 交银 施罗德 宣布 多家 客户...
290,3,体育 黑马 潜力 新星 菜鸟 高效 北京 CBA 联赛 东莞 主场 战胜 广厦 东莞 得分 上双 小将 顾全 拿到 比赛 主教练 戈尔 年轻 顾全 放在 浙江广...
291,2,体育 生涯 首次 季后赛 斗牛 冠军 级别 洛杉矶 段冉 常规赛 阶段 争夺 位置 小牛 湖人 拼得 火光 四溅 四月 两队 常规赛 交手 差点 武斗 俨然 一...
292,1,财经 通牒 铁公鸡 兴业 全球 视野 基金 卯吃 两年 分红 和平 北京 不满 基民 分红 北京 问天 律师 事务所律师 张远忠 基金 公司 托管人 发出 第一...
293,0,科技 支持 高清 视频 功能 尼康 D90 售价 尼康 D90 单反相机 搭载 一枚 23.6 15.8 mm CMOS 传感器 RGB 色彩 滤镜 像素 成像...
294,1,财经 华商 基金 旗下 型基金 大盘 本报讯 WIND 统计数据 显示 上证综指 上涨 30.34 开放式 型基金 平均 净值 增长率 22.39 基金 业绩 ...
295,5,娱乐 影后 合作 丹麦 女孩 塞隆 饰演 恋人 怀孕 基德曼 让贤 读者 角色 温丝 双保险 生产 加紧 排练 歌舞片 卖力 宣传 澳大利亚 综艺 杂志 奥斯卡...
296,5,娱乐 名导 金基德 状告 电影 电影 发行 娱乐 韩国 著名 电影 导演 金基德 电影 电影 发行 公司 Studio2 .0 告上 法庭 要求 公司 支付 电...
297,0,科技 张连 对焦 尼康 D300S 单机 低价 作者 中关村 陈亮 中关村 数码影像 行情 D300S 秉承 尼康 DX 格式 旗舰 产品 特性 连拍 自动 对...
298,0,科技 没钱 iPhone 苹果 touch3 作者 曹锐 iPod touch 升级 第三代 苹果 iPhone 手机 上网 GS 硬件 配置 支持 无线 上网...
299,5,娱乐 密阳 黄真伊 韩国 电影周 展映 娱乐 国家广播 电影 电视总局 电影局 韩国 电影 振兴 委员会 韩国 希杰 娱乐 株式会社 承办 北京 新影联 院线 ...
300,0,科技 超长 播放 艾利和 E30 艾利和 E30 时尚 靓丽 外观 性能 有着 品牌 优质 保障 长达 小时 续航 能力 强势 卓越 得知 产品 报价 G 喜欢...
301,5,娱乐 影帝 丹尼尔 歌舞片 复古 敞篷车 派头 娱乐 意大利 罗马 歌舞 新片 Nine 奥斯卡 影帝 丹尼尔 刘易斯 Daniel Day Lewis 亮相 ...
302,0,科技 DC 画质 卡西欧 G1 实拍 样张 分析 卡西欧 G shock 电子手表 优异 防护 性能 著称 防水 程度 优点 消费者 赞扬 卡西欧 G shoc...
303,5,娱乐 北美票房 综述 曼谷 杀手 夺冠 叫座 叫好 北美票房 暴跌 历史 最低点 成功 文本 综述 一周 所有人 越狱 跟到 第一季 放弃 好像 八卦 据说 体...
304,3,体育 专家 邓肯 鲨鱼 英雄 时代 逝去 罗斯 杜兰特 嫩点 北京 NBA 季后赛 首轮 球迷 过瘾 扣篮 斯维尼 看来 首轮 精彩 承认 NBA 英雄 时代 ...
305,0,科技 有效 像素 FE5020 点评 FE 轻薄 时尚 外观 实用 功能 配置 mm 广角镜头 拍摄 有着 广阔 视野 范围 具有 震撼 表现力 家庭 拍摄 广...
306,2,体育 调查 分区 半决赛 火热 开打 预测 NBA 季后赛 东西 半决赛 北京 打响 对决 公牛 vs 老鹰 热火 vs 湖人 vs 小牛 雷霆 vs 预测 对...
307,5,娱乐 德里 布洛迪 同性恋 盯上 我会 失望 德里 布洛迪 一位 严肃 演员 电影 观众 不会 忘记 钢琴家 奥斯卡 影帝 演员 新片 布鲁姆 兄弟 幽默 一点...
308,5,娱乐 木乃伊 公映 大片 元素 成热议 话题 好莱坞 大片 木乃伊 龙之 诅咒 蓉城 观众 见面 中国 元素 卖点 电影 观众 看得 亲切 陌生 李连杰 blo...
309,1,财经 基金 增仓 基金 减仓 证券时报 余子君 数据 统计 显示 基金 增持 股票 基金 减持 股票 WIND 数据 统计 显示 截至 上市公司 披露 年报 股...
310,4,游戏 天域 OL 全面 升级 好看 春光明媚 日子 天域 OL 度过 难忘 一岁 回首 一年 走过 相信 天域 友友 不会 忘记 记得 公测 火爆场面 记得 彪...
311,5,娱乐 执导 新片 聚焦 殉职 娱乐 北京 媒体 报到 麦克斯 拍摄 电影 亚利桑那 Arizona 一部 故事 蓝本 电影 电影 导演 基本 锁定 Ben Af...
312,4,游戏 手机游戏 三国演义 激情 开战 汉延康 称雄 三国 激荡 战斗 画面 经典 历史 人物 时代 再现 动画版 三国演义 战局 激烈 厮杀 疆土 誓死捍卫 丰...
313,3,体育 权威 媒体 讥讽 莫雷 选帅 策略 范甘迪 回来 北京 火箭队 选帅 工作 刚刚开始 选帅 名单 一长串 候选人 名单 招致 不满 纪事报 贾斯提斯 博客...
314,3,体育 加索尔 媒体 谎言 失落 流言 不会 困扰 北京 加索尔 疲软 谣言 传得 风生水 加索尔 辟谣 声称 情变 友妻门 传闻 加索尔 女友 分手 一名 队友...
315,2,体育 波士顿 传奇 旧事 激励 球员 总决赛 落后 北京 weei 半决赛 热火 波士顿 相遇 全世界 瞩目 一场 对决 两场 比赛 很多 失望 比赛 想象 激...
316,4,游戏 手机 网游 航海 原创 搞笑 漫画 倒计时 一年 迎接 手机 航海 广大 玩家 准备 一套 原创 搞笑 漫画 恭祝 玩家 吉祥 好运 手机 航海 无限 希...
317,1,财经 基金 年报 王亚伟 看好 券商 化工 基金 垫底 一下子 持续保持 领先 华夏 大盘 金鹰 小盘 屹立 不败 基金 风光 适应 形势 基金 市场 实行 投...
318,4,游戏 online 结婚 深受 玩家 喜爱 手游 大作 online 客户端 上线 大家 期盼 婚姻 系统 大家 见面 现实 女孩子 耐心 游戏 追到 心仪 美...
319,4,游戏 酷柚 OL 资料片 地下城 公测 两个 开发 酷柚 预定 计划 发布 资料片 地下城 公测 客户端 地下城 版本 新增 副本 地图 超强 BOSS 一撮 ...
320,3,体育 鲨鱼 伤情 加重 缺席 第五 詹韦 盛赞 传奇 北京 落后 迎来 坏消息 复出 沙克 奥尼尔 伤情 加重 确定 缺席 热火 第五 鲨鱼 球队 球馆 参加 ...
321,5,娱乐 组图 龙河 新片 作战 金敏贞 性感 亮相 新浪网 独家 稿件 转载 注明 出处...
322,1,财经 八成 基民 看重 基金 能力 牛市 满仓 熊市 空仓 投资者 理想 反映 基民 基金 选择 基金 经理 希望 牛市 杀到 满仓 权力 熊市 变为 债券 基...
323,4,游戏 手机 网游 武林 OL 愚人节 紫色 套装 人气 火爆 玩家 喜爱 武侠 题材 手机 网游 答案 肯定 掌上明珠 经典 武侠 题材 手机 网游 武林 OL...
324,1,财经 个股 基金 盛宴 巩万龙 发自 深圳 启明 信息 深圳 惠程 除权 连续 暴涨 激发 市场 追捧 转股 热情 送转 分红 方案 基金 重仓股 包括 步步高...
325,1,财经 中海 稳健 收益 第二次 分红 份派 0.3 全景网 日讯 中海 基金 公告 公司 旗下 中海 稳健 收益 债券 证券 投资 基金 成立 第二次 分红 基...
326,2,体育 湖人 先生 回来 回来 挨骂 北京 湖人 主场 失利 败给 小牛 落后 陷入 绝境 第四节 布雷克 运到 三分 遭遇 对方 严密 防守 准备 将球 传出 ...
327,0,科技 X光 mm 广角 佳能 IXUS200 山东 IT 佳能 IXUS200IS 商家 济南 科曼德 数码 售价 佳能 IXUS200IS 具备 革新 精神 ...
328,4,游戏 双城 OL 战役 紫装 双城 OL 战役 开放 英雄 集结 发出 英雄 做好 战斗准备 战役 实现 抱负 夺取 专属 紫装 开放 战役 战役 副本 延续 ...
329,4,游戏 手机 网游 文明 II 红名 惩罚 大盘 尊敬 玩家 文明 II 版本 上线 有趣 刺激 活动 友好 界面 人性化 设置 不同 角度 领略 文明 II 风...
330,1,财经 机构 投资者 资产 配置 平衡 嘉实 基金 投资 流程 风险 管理部 易炜 投资者 持有 一类 风险 资产 目的 高于 收益率 投资收益 不同 大类 资产...
331,2,体育 助攻 明白 斯台普 中心 一片 准备 半决赛 庆祝 留给 失落 不解 卫冕冠军 湖人 领先 小牛 偷走 胜利 绝杀 走回 更衣室 首轮 黄蜂 湖人 主场 ...
332,0,科技 高画质 闪存 摄像机 佳能 高清 HF S100 促销 观点 佳能 数码 摄像机 HF S100 像素 2.6 英寸 FULL HD CMOS 影像 感应...
333,1,财经 取消 申购 限额 收益率 下滑 吸引力 大大降低 取消 大额 申购 限制 泰达 荷银 基金 公布 取消 大额 申购 转换 业务 限制 债券市场 处于 震荡...
334,5,娱乐 蝙蝠侠 华纳 卖座 电影 贝尔 赴美 推行 娱乐 蝙蝠侠 骑士 男星 贝尔 出席 日本 举行 记者会 小丑 制度 不可 道理 导演 洛伦 美国 票房 大收...
335,0,科技 光学 变焦 富士 F75EXR 富士 F75EXR 简洁 紧凑 外观设计 厚度 22.7 mm 机身 光学 变焦 轻松 放在 口袋 F75EXR 机身 双...
336,3,体育 官方 宣布 教练 得主 公牛 菜鸟 主帅 毫无 悬念 当选 助理 教练 希伯杜 本赛季 公牛队 主帅 主教练 第一个 出色 防守 体系 带领 公牛 取得 ...
337,3,体育 调查 公牛 力克 老鹰 取得 赛点 看待 本场 比赛 北京 公牛 主场 击败 老鹰 系列赛 领先 取得 赛点 罗斯 拿下 助攻 洛尔 卡洛斯 布泽尔 基斯...
338,4,游戏 首位 太空 游戏 设计师 未偿 夙愿 创世纪 UO 神话 缔造者 理查德 加利 Garriott 地球 富有 游戏 设计师 地球 第一位 成功 太空 游戏...
339,3,体育 数据 趣谈 罗斯 闪电侠 系列赛 场场 北京 NBA 比赛 比赛 诞生 有趣 数据 罗斯 帮助 公牛 战胜 老鹰 罗斯 系列赛 命中 两年 德维恩 韦德 ...
340,5,娱乐 中影 抢占 后影 水啸 雾都 强势 登场 娱乐 结束 电影 市场 活跃 起来 木乃伊 水啸 雾都 瞩目 李连杰 blog 杨紫 blog 黄秋生 听歌 众...
341,1,财经 海富通 中国 红包 本报讯 海富通 基金 公司 公告 海富通 中国 精选 基金 截至 分配利润 基准 份额 0.20 比例 派发 红利 基金 分红 QDI...
342,3,体育 生涯 光辉 首轮 男身 热火 主场 击败 费城 总比分 淘汰 对手 晋级 第二轮 迎战 波什 登场 贡献 篮板 更具 意义 波什 加入 第一次 突破 季后...
343,5,娱乐 迪士尼 宣布 梦工厂 合作 迪士尼 梦工厂 携手 梦工厂 动画 维持 合作 娱乐 北京 美国 迪士尼 宣布 梦工厂 合作 负责 发行 推广 梦工厂 制作 ...
344,1,财经 关联方 基金 规模 王艳伟 基金 公司 关联方 方式 参与 基金 投资 公布 基金 年报 显示 多只 基金 关联方 持有人 基金 公司 股东 管理 券商 ...
345,4,游戏 手机 网游 侠义 OL 豪礼 激战 武林大会 手机 网游 侠义 OL 隆重推出 多项 活动 派送 多重 奖励 各服 玩家 选择 喜欢 活动 劲暴 惊喜 接...
346,4,游戏 飞扬 中关村 Top100 成长 提名 创新 中关村 主题 活动 首次 发布 中关村 TOP100 入选 企业 榜单 了解 活动 北京 科技 实业家 协会...
347,5,娱乐 摔角 发布 海报 金狮 得主 封喉 小金人 娱乐 影展 金狮 得主 摔角 北美 登场 出品 发布 海报 男主角 洛克 扮演 摔角 手伏 栏边 画面 马丁 ...
348,5,娱乐 北美票房 综述 蝙蝠侠 三连冠 木乃伊 败走 综述 转眼 流火 开幕 黑马 谍影 重重 北美地区 掀起 尘烟 一年 木乃伊 两部 粉丝 群体 中国 风尚 ...
349,4,游戏 d 赤壁 OL 内容 亲爱 手机 网游 赤壁 OL 例行 服务器 内容 1. 修改 秘文 南柯一梦 描述 错误 2. 修改 蜀国 级别 主线 圣兽 帮忙 ...
350,1,财经 同门 基金 业绩 本报讯 上证指数 上涨 受益 股票 基金 不错 收益 分化 明显 统计 显示 共享 投研 平台 投资 类型 同门 基金 收益率 最大 差...
351,5,娱乐 宫崎骏 工作室 推出 动画 动物 农场 娱乐 动画 巨匠 宫崎骏 导演 作品 全世界 受欢迎 创作 移动 城堡 众多 传世 名作 宫崎骏 担任 馆长 东京...
352,1,财经 国泰 双利 债券 基金 开放 申购 赎回 业务 全景网 日讯 国泰 基金 公告 国泰 双利 债券 证券 投资 基金 开放 基金 申购 赎回 业务 全景网 ...
353,3,体育 老鹰 vs 公牛 前瞻 V 罗斯 骂名 北京 公牛 重回 芝加哥 迎战 老鹰 两队 战成 体育 带来 本场 直播 第五 被誉为 取胜 取得 赛点 公牛 第...
354,5,娱乐 杜琪峰 夺宝 奇谋 开工 强尼 代抵 娱乐 法国 歌手 演员 强尼 Johnny Hallyday 巴黎 据知 导演 杜琪峰 拍摄 新片 Johnny 饰...
355,5,娱乐 专访 生死 朗读 导演 斯莱特 实在 出色 娱乐 生死 朗读 The Reader 柏林 电影节 参赛 奥斯卡 五项 提名 热门 生死 朗读 柏林 受到 ...
356,5,娱乐 莫妮卡 贝鲁奇 男人 揭幕 罗马 电影节 娱乐 意大利 性感女 莫妮卡 贝鲁奇 新片 男人 L Uomo che ama 揭幕 第三届 罗马 国际 电影节...
357,4,游戏 三国 印魂 充满 梦想 舞台 争霸 梦想 三国 题材 游戏 主题 汉失 充满 硝烟 乱世 三国 追寻 梦想 三国 印魂 吸取 成功 游戏 案例 制作 过程...
358,5,娱乐 变形金刚 上映 预告片 上线 综合 变形金刚 杀青 美国 首款 预告片 上线 观众 看到 细节 变形金刚 游戏 网站 揭晓 汽车 阵营 金刚 刹车 Ski...
359,2,体育 湖人 第二轮 赛程 公布 5.1 洛城 开打 北京 洛杉矶 湖人 客场 击败 黄蜂 卫冕冠军 耗时 总比分 晋级 季后赛 第二轮 湖人 比赛 结束 不久 ...
360,5,娱乐 皮克斯 动画 飞屋 游记 海报 曝光 娱乐 北京 北美 皮克斯 动画 飞屋 游记 UP 曝光 一张 海报 北美 上映 飞屋 游记 皮克斯 首部 立体电影 ...
361,5,娱乐 海瑟薇 扮演 好莱坞 女星 朱迪 嘉兰 娱乐 北京 媒体报道 瑞秋 婚礼 Rachel Getting Married 奥斯卡 提名 海瑟薇 Anne H...
362,5,娱乐 深湖 巨兽 导演 想来 中国 水怪 晚报 华夏 电影 公司 发行 电影 深湖 巨兽 确定 登陆 全国 影院 影片 导演 发行 方向 中国 观众 透露 影片...
363,3,体育 绿军 五号 续约 安吉 希望 能成 建队 基石 北京 ESPN 波士顿 总经理 丹尼 安吉 接受 采访 格林 提供 一份 竞争力 报价 试图 留住 极具 ...
364,0,科技 降价 百元 高清 宾得 KX 镜头 套机 促销 中关村 广州 行情 宾得 K x 像素 成像 能力 自动 对焦 系统 一秒 4.7 张连 s 配备 p 高...
365,3,体育 美国 选秀 关注 新星 改善 可成 顶尖 球员 北京 土耳其 U16 邀请赛 年轻 中国 小将 周琦 受到 美国 选秀 NBADRAFT 关注 周琦 做出...
366,4,游戏 赤壁 OL 三国鼎立 开放 赤壁 版本 历史 推进 三国鼎立 张宝 张角 张梁 妖术 招魂 勉强 维持 生命 维持 没落 黄巾军 黄巾军 声势 形势 曹操...
367,3,体育 纽约 执行 昌西 千万 合同 选项 心脏 北京 纽约 邮报 多方 证实 纽约 尼克斯 决定 执行 控卫 昌西 合同 球队 选项 总决赛 MVP 留在 纽约...
368,0,科技 可换 镜头 E P1 降价 中关村 数码相机 行情 E P1 脱离 单反相机 概念 硬件 配置 E P1 继承 标准 英寸 画幅 单反相机 17.3 13...
369,0,科技 双屏 经典 卡片机 三星 ST550 性能 三星 ST550 数码相机 2.33 英寸 CCD 传感器 有效 像素 具备 光学 防抖 功能 广角 施耐德 ...
370,4,游戏 宝贝 国度 职业技能 体验 宝贝 任务 学习 生活 技能 生活 生活 技能 宝贝 国度 职业 采矿 伐木 宝石 制作 玩家 天生 钓鱼 能力 NPC 村长...
371,1,财经 景顺 长城 老总 梁华栋 去职 内幕 景顺 长城 公告 公司 总经理 梁华栋 个人 原因 辞去 总经理 职务 公司 副总经理 建军 代为 履行 总经理 职...
372,0,科技 具备 光学 变焦 富士 F75EXR 富士 F75 双层 涂漆 工艺 质感 良好 色泽 光艳 显得 美观 时尚 容易 指纹 具有 两种 颜色 满足 不同 ...
373,0,科技 小幅 让利 索尼 SX60E 闪存 DV 特惠 半个 迎来 郑州 时光 数码 推出 索尼 DV 特惠 促销 活动 SX60E 促销 售价 光学 变焦 性能...
374,2,体育 三分 跳投 杀人 北京 洛杉矶 湖人 客场 惨败 杰森 全场 三分球 疯狂 助攻 三分 追平 季后赛 纪录 小牛 淘汰 湖人 荣膺 湖人 第四 惨败 原因...
375,5,体育 大虫 大寿 缅怀 风流 夜总会 退役 活塞 球衣 北京 纽约 邮报 大虫 丹尼斯 罗德曼 迎来 五十 大寿 中国 五十 人生 睿智 成熟 半百 罗德曼 据...
376,5,娱乐 1.5 观众 观看 怪兽 大战 外星人 预告片 娱乐 美国梦工厂 动画电影 怪兽 大战 外星人 Monsters vs Aliens D 宣传 一亿五千万...
377,2,体育 禅师 表态 不满 湖人 内线 放弃 比赛 北京 洛杉矶 湖人 斯台普 中心 主场 迎战 小牛 湖人 不敌 对手 谈到 拿下 两双 拉玛尔 控制 比赛 控制...
378,5,娱乐 东南 影评人 协会 揭晓 高调 君临 娱乐 北京 风向标 中因 历史 堪称 老铺 东南 影评人 协会 Southeastern Film Critics ...
379,4,游戏 九州 风云 再起 全民 鞭炮 齐鸣 热闹 气氛 开心 恢复 工作 学习 朋友 综合症 懒散 心情 恢复 忙碌 九州 online 资料片 风云 再起 世界...
380,1,财经 基金 公司 高管 变动 再起 宏远 去职 基金 王艳伟 一位 基金 元老 离开 行业 基金 发布 高管 离职 公告 副总经理 宏远 个人 原因 公司 董事...
381,4,游戏 启示录 初章 图文 攻略 结界 迷宫 小道 楼梯 回到 安诺瑞 山顶 回到 下楼梯 来到 水晶 山洞 山洞 宝箱 铜币 返回 山洞 中央 掉下来 楼梯 方...
382,4,游戏 获取 封神 ol 全额 工资 游戏 赚钱 获取 最大化 利益 玩家 必修课 手机 网游 封神 ol 推出 一项 工资 政策 标志 玩家 薪水 玩游戏 投入...
383,2,体育 横扫 想到 历史 大字 映衬 洛杉矶 湖人 傲慢 惨败 主场 连输 两场 落后 不能 出来 面临 NBA 历史 翻盘 成功 紫金 作何 感想 相信 季后赛...
384,3,体育 专家 热火 过关 鲨鱼 绿衫 军想 晋级 老三 巨头 北京 ESPN 霍林格 撰文 热火 波士顿 作出 分析 预测 两队 夺冠 失利 隐藏 集体 爆发 热...
385,4,游戏 小奥 游戏城 特色 鲜明 竞技性 游戏城 锄大地 拖拉机 拱猪 金花 大牌 游戏 一体 五子棋 围棋 象棋 棋类 游戏 好玩 国标 麻将 广东 香港 麻将...
386,4,游戏 手机 网游 文明 II 公会 成长 教程 公会 系统 开放 公会 是否 一级 徘徊 极少数 公会 成员 公会 任务 公会 贡献 调动 全体 公会 成员 积...
387,1,财经 基金 重点 公司 A股 市场 回暖 基金 发行 截至 基金 发行 伴随 股票 型基金 投资收益 回涨 投资者 股票 型基金 提升 面对 诸多 基金 品种 ...
388,4,游戏 第四届 手机 网游 挑战赛 豪情 登场 手机 网游 挑战赛 手机 网游 挑战赛 开幕 畅谈 手机 网游 机会 手机 网游 VIP 帐号 新网游 内测 帐号...
389,0,科技 有效 像素 尼康 D90 套机 作者 宋心杰 尼康 D90 DX 格式 CMOS 感光 元件 有效 像素 最大 拍摄 分辨率 图片 D90 一块 3.0 ...
390,5,娱乐 韩星 李准 剧照 酷似 梅兰芳 引热议 中新网 Edaily SPN 韩星 李准基 影片 男人 造型 中国 传奇 京剧 演员 梅兰芳 十分 相像 热门话题...
391,3,体育 现场 皇帝 放弃 镁粉 末段 暴走 北京 热火 坐镇 主场 迎战 总比分 热火 领先 双方 第一场 比赛 火气 吃到 技术犯规 比赛 恶意 犯规 第二场 ...
392,1,财经 荷银 合丰 基金 增聘 吴俊峰 担任 基金 经理 全景网 日讯 泰达 荷银 基金 公布 聘任 吴俊峰 先生 担任 泰达 荷银 价值 优化 行业 基金 合丰...
